"content_id","id","parent_category_name","category_name","uuid","content_title","content","language_type","enabled","status","department","iot_product_category","brands","is_smart_product","content_code","pub_plat","pub_language","pub_area"
438,1855,,Product FAQ,"72f551484f17434484e3f2b3a89ab832",Sync finish function,"<p>The&nbsp;sync&nbsp;finish&nbsp;function&nbsp;will&nbsp;make&nbsp;both&nbsp;cavities&nbsp;finish&nbsp;cooking&nbsp;at&nbsp;the&nbsp;same&nbsp;time.&nbsp;After&nbsp;programming&nbsp;both&nbsp;cavities,&nbsp;touch&nbsp;to&nbsp;“SYNC&nbsp;FINSH”activate&nbsp;or&nbsp;deactivate&nbsp;the&nbsp;sync&nbsp;finish&nbsp;function.If&nbsp;the&nbsp;sync&nbsp;finish&nbsp;function&nbsp;is&nbsp;activated,&nbsp;“SYNC&nbsp;FINISH”will&nbsp;appear&nbsp;and&nbsp;touching&nbsp;either“SYNC&nbsp;FINSH”will&nbsp;start&nbsp;both&nbsp;cavities.&nbsp;The&nbsp;cavity&nbsp;with&nbsp;less&nbsp;cook&nbsp;time&nbsp;will&nbsp;display&nbsp;“HoLd”&nbsp;until&nbsp;both&nbsp;cavities&nbsp;have&nbsp;the&nbsp;same&nbsp;remaining&nbsp;cook&nbsp;time.</p>",en,1,2,SDA,"33",Midea,1,,html;mjapp,en,ALL
439,1856,,Product FAQ,"22acc6c5171148a5a47daf0311b1bd77",How to find the model name and serial number,<p>Both&nbsp;the&nbsp;model&nbsp;name&nbsp;and&nbsp;serial&nbsp;number&nbsp;can&nbsp;be&nbsp;found&nbsp;on&nbsp;the&nbsp;rating&nbsp;label&nbsp;that&nbsp;is&nbsp;located&nbsp;on&nbsp;the&nbsp;bottom&nbsp;of&nbsp;the&nbsp;air&nbsp;fryer</p>,en,1,2,SDA,"33",Midea,1,,html;mjapp,en,ALL
440,1857,,Product FAQ,"03bb0f0414df4a9abdb1142957736c95",How to turn on the child lock feature?,<p>Long&nbsp;press&nbsp;the&nbsp;Stop/Cancel&nbsp;button&nbsp;for&nbsp;3&nbsp;seconds.&nbsp;You&nbsp;will&nbsp;hear&nbsp;a&nbsp;long&nbsp;beep&nbsp;and&nbsp;the&nbsp;child&nbsp;lock&nbsp;will&nbsp;be&nbsp;activated.&nbsp;</p>,en,0,2,MCA,B0,"Midea,Toshiba",1,,html;mjapp;toshiba,en,ALL
440,1858,,Product FAQ,a2b95d49d0374ec3ae0d7b1417c9e5de,Wie aktiviere ich die Kindersicherungsfunktion?,<h1>Wie&nbsp;aktiviere&nbsp;ich&nbsp;die&nbsp;Kindersicherungsfunktion?</h1><p>Drücken&nbsp;Sie&nbsp;die&nbsp;Stopp/Cancel&nbsp;Taste&nbsp;3&nbsp;Sekunden&nbsp;lang.&nbsp;Sie&nbsp;hören&nbsp;einen&nbsp;langen&nbsp;Signalton&nbsp;und&nbsp;die&nbsp;Kindersicherung&nbsp;wird&nbsp;aktiviert.</p>,de,0,2,MCA,B0,"Midea,Toshiba",1,,html;mjapp;toshiba,de,ALL
440,1859,,Product FAQ,"17a81c639ec74c4586397defb254d384",วิธีการเปิดฟังก์ชันล็อคป้องกันเด็กทำอย่างไร,"<p>กดปุ่ม&nbsp;""Stop/Cancel""&nbsp;ค้างไว้&nbsp;3&nbsp;วินาที&nbsp;จะได้ยินเสียงบี๊บยาวและระบบล็อคป้องกันเด็กจะถูกเปิดใช้งาน</p>",th,0,2,MCA,B0,"Midea,Toshiba",1,,html;mjapp;toshiba,th,ALL
441,1860,,Product FAQ,"5a0ac20240db413f8eb5b6be5a4b528c",Does the power cord buckle need to be removed from the back of the machine?,"<p>No,&nbsp;this&nbsp;is&nbsp;used&nbsp;to&nbsp;prevent&nbsp;the&nbsp;product&nbsp;from&nbsp;being&nbsp;too&nbsp;close&nbsp;to&nbsp;the&nbsp;wall&nbsp;resulting&nbsp;in&nbsp;poor&nbsp;heat&nbsp;dissipation.</p>",en,1,2,MCA,B0,"Midea,Toshiba",1,,html;mjapp;toshiba,en,ALL
441,1861,,Product FAQ,"2638ffccd3fd4557912a40ae8fa19a76",Muss die Schnalle des Netzkabels von der Rückseite des Geräts entfernt werden?,"<h1>Muss&nbsp;die&nbsp;Schnalle&nbsp;des&nbsp;Netzkabels&nbsp;von&nbsp;der&nbsp;Rückseite&nbsp;des&nbsp;Geräts&nbsp;entfernt&nbsp;werden?</h1><h1>&nbsp;</h1><p>Nein,&nbsp;Diese&nbsp;wird&nbsp;verwendet,&nbsp;um&nbsp;zu&nbsp;verhindern,&nbsp;dass&nbsp;sich&nbsp;das&nbsp;Produkt&nbsp;zu&nbsp;nahe&nbsp;an&nbsp;der&nbsp;Wand&nbsp;befindet,&nbsp;was&nbsp;zu&nbsp;einer&nbsp;schlechten&nbsp;Wärmeableitung&nbsp;führt.</p>",de,1,2,MCA,B0,"Midea,Toshiba",1,,html;mjapp;toshiba,de,ALL
441,1862,,Product FAQ,"02dff526498e4750af320b0f7002d5c2",ต้องถอดตัวล็อคสายไฟออกจากด้านหลังเครื่องหรือไม่,<p>ไม่ต้องถอด&nbsp;ตัวล็อคสายไฟใช้เพื่อป้องกันไม่ให้ผลิตภัณฑ์อยู่ใกล้ผนังมากเกินไป&nbsp;หากถอดออกจะส่งผลให้ระยะของผลิตภัณฑ์อาจจะชิดผนังมากเกินไปแล้วจะทำให้ระบายความร้อนได้ไม่ดี</p>,th,1,2,MCA,B0,"Midea,Toshiba",1,,html;mjapp;toshiba,th,ALL
442,1863,,Product FAQ,"4545f396ad7341f08ed6c10ffe778144",Why does my washing machine has vibration noise in the water inlet valve?,"<p>(i)&nbsp;Low&nbsp;water&nbsp;pressure</p><p>1-&nbsp;Low&nbsp;water&nbsp;pressure:&nbsp;When&nbsp;the&nbsp;faucet&nbsp;is&nbsp;not&nbsp;open&nbsp;or&nbsp;the&nbsp;water&nbsp;pressure&nbsp;is&nbsp;too&nbsp;low,&nbsp;the&nbsp;water&nbsp;inlet&nbsp;valve&nbsp;makes&nbsp;vibration&nbsp;noise</p><p>Tip:&nbsp;This&nbsp;situation&nbsp;is&nbsp;generally&nbsp;caused&nbsp;by&nbsp;the&nbsp;vibration&nbsp;of&nbsp;the&nbsp;water&nbsp;inlet&nbsp;valve's&nbsp;core,&nbsp;which&nbsp;does&nbsp;not&nbsp;affect&nbsp;the&nbsp;working&nbsp;performance&nbsp;of&nbsp;the&nbsp;washing&nbsp;machine&nbsp;and&nbsp;can&nbsp;be&nbsp;used&nbsp;normally.</p><p><br></p><p>(ii)&nbsp;The&nbsp;sound&nbsp;of&nbsp;water</p><p>1-&nbsp;The&nbsp;sound&nbsp;of&nbsp;the&nbsp;water&nbsp;current&nbsp;impacting&nbsp;during&nbsp;the&nbsp;water&nbsp;inlet&nbsp;process&nbsp;is&nbsp;loud,&nbsp;and&nbsp;it&nbsp;will&nbsp;only&nbsp;be&nbsp;obvious&nbsp;when&nbsp;the&nbsp;environment&nbsp;is&nbsp;very&nbsp;quiet;&nbsp;the&nbsp;sound&nbsp;of&nbsp;water&nbsp;current&nbsp;is&nbsp;not&nbsp;a&nbsp;malfunctioning&nbsp;phenomenon.</p><p>Tip:&nbsp;If&nbsp;feels&nbsp;that&nbsp;the&nbsp;sound&nbsp;of&nbsp;the&nbsp;impact&nbsp;of&nbsp;the&nbsp;water&nbsp;intake&nbsp;is&nbsp;too&nbsp;loud,&nbsp;you&nbsp;can&nbsp;adjust&nbsp;the&nbsp;tap&nbsp;to&nbsp;reduce&nbsp;the&nbsp;amount&nbsp;of&nbsp;water.</p><p><br></p><p>If&nbsp;you&nbsp;are&nbsp;not&nbsp;able&nbsp;to&nbsp;operate&nbsp;or&nbsp;&nbsp;this&nbsp;problem&nbsp;can&nbsp;not&nbsp;be&nbsp;solved,&nbsp;you&nbsp;need&nbsp;to&nbsp;call&nbsp;the&nbsp;after-sales&nbsp;service.</p>",en,0,2,LAD,DA,"Midea,Toshiba,Comfee",1,,html;mjapp,en,ALL
442,1864,,Product FAQ,"9ab81999e4624d7a9b7622b987057ee6",Why does my washing machine has vibration noise in the water inlet valve?,<p>1、水压低问题：龙头没有打开或水压过低时，进水阀易出现振动噪音；进水压力正常时，振动噪音会明显降低。<br></p><p>处理方法：这种情况一般是进水阀的阀芯振动发出的，不影响洗衣机的工作性能，&nbsp;可以正常使用。<br></p><p>2、进水过程中的水流冲击声音较大，一般是在环境非常安静的情况下才会显得非常明显；水流声音不是故障现象。<br></p><p>处理方法：用户若觉得进水时的冲击声音太大，可以调整龙头开关，较少出水量。通过<br></p><p>如果你不会操作或该问题不能被解决，你需要联系售后。</p>,zh-CN,0,2,LAD,DA,"Midea,Toshiba,Comfee",1,,html;mjapp,zh-CN,ALL
